TEFF_early.vs.BL	TEFF_late.vs.BL	TREG_early.vs.BL	TREG_late.vs.BL
FAM78A	0	0	0	1
FAM98A	0	1	0	0
FAM98B	0	0	1	0
FANCD2	0	0	0	1
FANCG	0	0	0	1
FANK1	0	0	1	0
FAR1	0	0	1	0
FARP2	0	0	1	1
FARSB	0	1	0	0
FAS	0	0	1	1
FASN	0	0	1	0
FBRSL1	0	0	1	0
FBXO25	0	0	1	0
FBXO3	0	0	1	0
FBXO32	0	0	1	0
FBXO45	0	0	1	0
FBXO7	0	0	1	0
FBXO9	0	0	1	0
FBXW5	0	0	1	0
FBXW7	0	0	1	0
FCAR	0	0	1	0
FCER1G	0	0	1	0
FCF1	1	0	0	0
FCGR2A	0	0	1	0
FCGR3A	0	0	1	0
FCGRT	0	0	1	0
FCHSD1	0	0	1	0
FCMR	0	0	1	0
FCN1	0	0	1	0
FCRL3	0	0	1	0
FEM1A	0	0	1	0
FES	0	0	1	0
FGD3	0	0	1	0
FGF13	0	0	1	0
FGL2	0	0	1	0
FGR	0	0	1	0
FHL1	0	0	1	0
FHOD1	1	0	0	0
FIP1L1	0	0	1	0
FITM2	0	0	0	1
FKBP2	0	0	1	0
FLNB	0	0	1	0
FLRT2	0	0	1	0
FLT3LG	1	0	0	0
FLVCR2	0	0	1	1
FMNL3	1	0	0	0
FNBP1	0	0	1	0
FNDC3B	0	0	1	0
FNIP1	0	0	1	0
FNIP2	0	0	1	1
FNTA	0	0	1	0
FOCAD	0	0	1	0
FOXJ2	0	0	1	0
FOXK2	1	1	0	0
FOXN3	0	0	1	0
FOXO3	0	0	1	1
FOXP3	0	0	1	0
FPGS	0	0	1	0
FPR1	0	0	1	0
FRG1	0	0	1	0
FRG1CP	0	0	1	0
FRMD4B	0	0	1	1
FRRS1L	0	0	1	0
FTL	0	0	1	0
FTSJ1	0	1	0	0
FUBP1	0	0	0	1
FUCA1	0	0	1	0
FUT11	0	0	0	1
FUT4	1	0	1	0
FXYD5	0	0	1	0
FYB1	0	0	1	0
FYTTD1	0	0	1	0
FZD3	0	0	1	0
G0S2	0	0	1	0
G2E3	0	1	0	0
G3BP2	0	0	1	0
GAA	0	0	1	0
GABPB1	0	0	0	1
GADD45A	0	0	1	0
GALM	0	0	1	0
GALNT2	0	1	1	1
GALNT3	0	0	1	0
GALNT4	0	0	1	0
GALT	0	0	1	0
GANC	1	0	0	1
GAPDH	0	0	0	1
GART	1	0	0	0
GAS2L3	0	0	1	0
GAS7	0	0	1	0
GATA3	0	0	1	0
GBE1	0	0	1	0
GBP1	1	1	0	1
GBP2	0	0	1	0
GBP4	0	0	0	1
GBP5	0	0	1	0
GCA	0	0	1	1
GCC2	0	0	0	1
GCH1	0	0	0	1
GCHFR	0	1	1	0
GCLM	0	0	1	0
GDAP1	0	1	0	0
GDI2	0	0	0	1
GDPD5	0	0	1	0
GEMIN6	0	0	1	0
GEMIN8	0	0	1	0
GEN1	0	0	0	1
GFI1	0	0	1	0
GFOD1	0	0	1	1
GGA1	0	0	1	0
GGT1	0	0	1	0
GID8	0	0	1	0
GIGYF1	0	1	0	1
GIMAP4	0	0	1	0
GIPC1	0	0	1	0
GJB6	0	0	1	0
GK5	0	1	1	0
GLCCI1	0	0	1	0
GLRX	0	0	1	0
GLUD1	0	0	1	0
GLUL	0	0	1	0
GLYCTK	0	0	1	0
GM2A	0	0	1	0
GMCL1	0	0	1	1
GMEB1	0	0	1	0
GMFG	0	0	1	0
GMIP	0	0	1	0
GNA12	0	1	1	0
GNA15	0	0	1	0
GNAI2	0	0	0	1
GNAI3	0	1	0	0
GNB4	0	0	1	0
GNG2	0	0	0	1
GNG5	0	0	1	0
GNLY	0	0	1	0
GNPDA1	0	0	1	0
GNRHR2	0	0	1	0
GNS	0	0	1	1
GOLGA7	0	0	1	0
GOLGA8B	0	0	1	1
GPA33	0	0	1	0
GPATCH2L	0	0	1	0
GPBP1	0	0	0	1
GPD2	0	0	1	0
GPN3	0	0	1	0
GPR107	0	0	1	0
GPR132	0	0	0	1
GPR146	0	0	1	0
GPR171	0	0	1	0
GPR174	0	0	1	0
GPR18	0	0	1	0
GPR89B	0	0	1	0
GPRIN3	0	0	1	0
GPSM3	0	0	1	0
GPX1	0	0	1	0
GRB2	0	0	1	0
GRIPAP1	0	0	1	0
GRK3	0	0	1	1
GRK5	0	0	1	0
GRN	0	0	1	0
GRPEL2	0	0	1	0
GRWD1	0	0	1	0
GSAP	0	0	1	0
GSDMB	0	0	0	1
GSK3B	0	0	1	0
GSN	0	0	1	1
GSPT1	0	0	1	0
GSTK1	0	0	1	0
GSTO1	0	0	1	0
GSTP1	0	0	1	0
GTF2IP1	0	0	1	0
GTF2IP20	0	0	1	0
GTF3A	0	0	1	0
